"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"67","2007","5","Karnataka","Mysore","0.1","0.83","3.84","132.26","248.65","41.19","174.71","148.06","187.96","198.13","46.26","12.63"
"67","2008","5","Karnataka","Mysore","0.32","15.56","61.29","91.09","49.94","78.39","281.54","138.6","112.79","305.85","32.11","2.28"
"67","2009","5","Karnataka","Mysore","0.11","0.0","19.32","43.76","97.39","247.21","112.67","81.42","143.5","89.59","105.91","22.5"
"67","2010","5","Karnataka","Mysore","0.49","1.57","2.49","140.96","153.88","59.79","226.07","81.1","106.12","233.53","110.63","7.89"
"67","2011","5","Karnataka","Mysore","0.2","16.29","0.96","97.31","86.97","62.08","210.21","153.09","129.44","163.12","46.37","4.5"
"67","2012","5","Karnataka","Mysore","0.31","6.19","0.88","63.93","77.48","30.07","125.39","117.39","62.53","97.15","75.93","8.6"
"67","2013","5","Karnataka","Mysore","0.08","5.16","11.55","17.19","148.13","94.08","273.38","70.9","105.42","110.25","81.56","3.24"
"67","2014","5","Karnataka","Mysore","0.2","0.37","3.31","51.9","64.1","97.56","257.3","133.0","206.38","304.88","35.0","2.95"
"67","2015","5","Karnataka","Mysore","5.38","0.16","33.39","112.06","207.07","58.6","186.05","79.14","90.05","151.03","146.92","5.02"
"68","1966","5","Karnataka","Mandya","10.14","9.56","9.03","8.57","8.15","7.78","7.43","7.12","55.5","124.71","136.17","84.59"
"68","1967","5","Karnataka","Mandya","13.75","0.0","2.94","19.41","69.79","60.49","82.23","29.43","20.51","100.2","22.44","26.03"
"68","1968","5","Karnataka","Mandya","0.0","16.47","11.44","59.56","90.97","41.95","29.71","25.74","146.61","111.76","26.17","4.43"
"68","1969","5","Karnataka","Mandya","0.13","0.16","4.62","50.82","111.34","20.45","37.82","81.85","41.77","167.83","69.6","37.41"
"68","1970","5","Karnataka","Mandya","26.89","22.91","20.0","17.78","16.3","14.8","13.56","12.52","11.64","170.19","121.78","68.18"
"68","1971","5","Karnataka","Mandya","45.79","35.07","28.6","24.21","21.1","18.66","16.74","22.89","39.92","54.09","37.49","28.83"
"68","1972","5","Karnataka","Mandya","23.81","20.43","17.96","16.06","44.2","33.33","26.29","22.02","38.01","77.61","50.7","38.59"
"68","1973","5","Karnataka","Mandya","30.62","25.54","21.97","19.31","17.25","15.59","14.23","13.1","12.14","31.71","26.16","22.36"
"68","1974","5","Karnataka","Mandya","0.0","0.0","0.69","36.48","104.8","20.54","56.15","27.51","166.0","135.75","8.72","0.25"
"68","1975","5","Karnataka","Mandya","1.05","1.88","14.64","25.78","179.5","45.66","96.57","55.41","127.12","147.49","64.69","1.06"
"68","1976","5","Karnataka","Mandya","0.0","0.0","0.51","96.14","41.95","13.15","30.91","48.93","50.53","71.78","84.74","1.03"
"68","1977","5","Karnataka","Mandya","0.0","1.55","13.19","82.54","132.77","58.43","30.19","56.9","111.67","267.92","82.13","0.02"
"68","1978","5","Karnataka","Mandya","1.4","7.36","2.47","46.58","127.14","38.55","74.89","34.42","105.81","117.45","95.18","34.62"
"68","1979","5","Karnataka","Mandya","1.4","18.18","10.24","50.79","75.65","71.93","43.66","59.42","155.25","156.36","108.67","0.86"
"68","1980","5","Karnataka","Mandya","0.0","0.03","3.43","46.51","177.6","44.1","43.93","31.23","144.21","120.87","50.65","2.9"
"68","1981","5","Karnataka","Mandya","1.36","0.0","31.78","33.46","114.95","21.56","55.99","60.0","154.86","129.5","32.98","13.51"
